_mean,_sum,id,2000,2005,2010,2015,2020,2024,2028,2038,.geo
0.226001451,30.05819302,581,20.22830223,22.33368017,24.65818754,27.22463151,30.05819302,32.5359548,38.12105666,44.66489365,"{""type"":""Polygon"",""coordinates"":[[[-68.21673252368828,12.15853328790631],[-68.21349076628627,12.15304518472877],[-68.20700725609453,12.153045187477503],[-68.20376996107035,12.158533265778953],[-68.20700725609453,12.16402132962201],[-68.21349076628627,12.164021310399965],[-68.21673252368828,12.15853328790631]]]}"
0.091414052,11.51817051,582,7.751398563,8.558170351,9.448911596,10.4323619,11.51817051,12.46763818,14.60782524,17.11539548,"{""type"":""Polygon"",""coordinates"":[[[-68.21673252368828,12.147556902161334],[-68.21349076628627,12.142068522830012],[-68.20700725609453,12.142068509226986],[-68.20376996107035,12.147556929152],[-68.20700725609453,12.153045187477503],[-68.21349076628627,12.15304518472877],[-68.21673252368828,12.147556902161334]]]}"
0.023111253,3.073796656,525,2.068577033,2.283876192,2.521583861,2.784032334,3.073796656,3.327176354,3.898317387,4.567500137,"{""type"":""Polygon"",""coordinates"":[[[-68.23618309846483,12.180484707731416],[-68.23294133253975,12.17499702405059],[-68.22645780475285,12.174996984254026],[-68.22321604295206,12.18048472747586],[-68.22645780475285,12.185972245062091],[-68.23294133253975,12.185972267733906],[-68.23618309846483,12.180484707731416]]]}"
0.367099663,45.88745793,526,30.88094374,34.09505716,37.6436981,41.56168443,45.88745793,49.6700602,58.19639199,68.18634862,"{""type"":""Polygon"",""coordinates"":[[[-68.23618309846483,12.169509202371211],[-68.23294133253975,12.164021322518096],[-68.22645780475285,12.164021347948795],[-68.22321604295206,12.169509187978758],[-68.22645780475285,12.174996984254026],[-68.23294133253975,12.17499702405059],[-68.23618309846483,12.169509202371211]]]}"
0.146246951,18.57336276,528,12.4993407,13.80028212,15.23662656,16.82246689,18.57336276,20.10440517,23.55551492,27.59904003,"{""type"":""Polygon"",""coordinates"":[[[-68.23618309846483,12.147556904542698],[-68.23294133253975,12.142068552891715],[-68.22645780475285,12.142068544647898],[-68.22321604295206,12.1475569048005],[-68.22645780475285,12.15304517341695],[-68.23294133253975,12.153045164882803],[-68.23618309846483,12.147556904542698]]]}"
0.254669325,33.61635088,529,22.62284047,24.97744387,27.57711629,30.44736471,33.61635088,36.38741929,42.63366117,49.95212905,"{""type"":""Polygon"",""coordinates"":[[[-68.23618309846483,12.136575675908546],[-68.23294133253975,12.131087131181099],[-68.22645780475285,12.131087106434487],[-68.22321604295206,12.136575725254769],[-68.22645780475285,12.142068544647898],[-68.23294133253975,12.142068552891715],[-68.23618309846483,12.136575675908546]]]}"
0.100779499,12.79899634,530,8.613357629,9.50984281,10.49963489,11.59244532,12.79899634,13.85404525,16.23222209,19.01863528,"{""type"":""Polygon"",""coordinates"":[[[-68.23618309846483,12.125598435596753],[-68.23294133253975,12.12010961619607],[-68.22645780475285,12.120109574908748],[-68.22321604295206,12.125598451731017],[-68.22645780475285,12.131087106434487],[-68.23294133253975,12.131087131181099],[-68.23618309846483,12.125598435596753]]]}"
0.075037875,9.454772258,499,6.362790691,7.025035056,7.756206348,8.563478534,9.454772258,10.23414956,11.99093734,14.04929422,"{""type"":""Polygon"",""coordinates"":[[[-68.2459084040007,12.17499701487376],[-68.24266663422583,12.169509247529223],[-68.23618309846483,12.169509202371211],[-68.23294133253975,12.17499702405059],[-68.23618309846483,12.180484707731416],[-68.24266663422583,12.180484653358135],[-68.2459084040007,12.17499701487376]]]}"
0.32399732,43.41564083,500,29.21748169,32.25846065,35.61594714,39.32288353,43.41564083,46.99448588,55.06153024,64.51335844,"{""type"":""Polygon"",""coordinates"":[[[-68.2459084040007,12.164021347788793],[-68.24266663422583,12.158533302301135],[-68.23618309846483,12.158533322218005],[-68.23294133253975,12.164021322518096],[-68.23618309846483,12.169509202371211],[-68.24266663422583,12.169509247529223],[-68.2459084040007,12.164021347788793]]]}"
0.02499069,3.173817676,501,2.135888312,2.358193284,2.603635935,2.874624454,3.173817676,3.435442322,4.025168225,4.716126111,"{""type"":""Polygon"",""coordinates"":[[[-68.2459084040007,12.153045142130491],[-68.24266663422583,12.147556901674724],[-68.23618309846483,12.147556904542698],[-68.23294133253975,12.153045164882803],[-68.23618309846483,12.158533322218005],[-68.24266663422583,12.158533302301135],[-68.2459084040007,12.153045142130491]]]}"
0.205325304,27.10294015,502,18.23950176,20.13788376,22.23385087,24.54796793,27.10294015,29.33709405,34.37308145,40.27354334,"{""type"":""Polygon"",""coordinates"":[[[-68.2459084040007,12.14206856412158],[-68.24266663422583,12.136575689814393],[-68.23618309846483,12.136575675908546],[-68.23294133253975,12.142068552891715],[-68.23618309846483,12.147556904542698],[-68.24266663422583,12.147556901674724],[-68.2459084040007,12.14206856412158]]]}"
0.624020531,21.84071858,506,14.6981775,16.22797562,17.91699636,19.78181173,21.84071858,23.64109619,27.69931213,32.4541589,"{""type"":""MultiPolygon"",""coordinates"":[[[[-68.2459084040007,12.098153220740532],[-68.24266663422583,12.092663855245037],[-68.24136461378147,12.092663831111652],[-68.24177481570082,12.092820807113888],[-68.24178818888416,12.09306935220513],[-68.24218510861441,12.09349225620771],[-68.24255519102026,12.094076514516138],[-68.24261314148697,12.094128837277218],[-68.24274696430878,12.094242262696898],[-68.24303234989853,12.0945910470565],[-68.24300551255385,12.095497899117529],[-68.24301451898477,12.095702866041801],[-68.24296985072647,12.095964425863551],[-68.2427692529503,12.09623476743016],[-68.24278262613521,12.098510787123375],[-68.24275587976537,12.100450956619383],[-68.24211369399275,12.101401459474918],[-68.24063327357234,12.102042395801837],[-68.24087408181668,12.103245718719519],[-68.24077601181682,12.103642482731987],[-68.24266663422583,12.103642506173673],[-68.2459084040007,12.098153220740532]]],[[[-68.23908598752207,12.092663824360613],[-68.23618309846483,12.09266385698121],[-68.23604490899963,12.092894903787004],[-68.23605828217357,12.092916706839747],[-68.23622776668616,12.093357083141344],[-68.2362545130347,12.093557654262053],[-68.23629463255766,12.09397627696626],[-68.23632583663121,12.094359984977212],[-68.23633029435601,12.094412288138248],[-68.23633029435601,12.094482060066953],[-68.23633029435601,12.094525616183619],[-68.23633920980562,12.094647727370667],[-68.23633920980562,12.094704432603608],[-68.23637487160417,12.094748029404778],[-68.23643727975204,12.094800306291642],[-68.2364417374769,12.094848254093222],[-68.2364551106515,12.094913696234478],[-68.23646402610126,12.094935464005154],[-68.23649077245057,12.094939870637555],[-68.23653544067363,12.094913692290103],[-68.23655327157331,12.09491802712823],[-68.23657556019799,12.0949660364057],[-68.23658447564787,12.094996515477797],[-68.23659339109778,12.095053210591148],[-68.23660230654768,12.09509683880911],[-68.23661567972256,12.09516219899691],[-68.23664688379736,12.09521890934373],[-68.2366647146973,12.09523631117227],[-68.23673158057245,12.095279913069861],[-68.23678953099801,12.095301747097654],[-68.23682974149763,12.095314815850255],[-68.23686540329837,12.095319212128208],[-68.23690106509926,12.09531481489846],[-68.23695010007575,12.09530608749825],[-68.23699913505253,12.095301715745293],[-68.23703925457922,12.095306065705715],[-68.23710612045748,12.095310466639372],[-68.2371552464092,12.095306102289724],[-68.23720873911252,12.095279905856469],[-68.23729343589352,12.095223224384586],[-68.23738704812617,12.095162176772469],[-68.23747183588304,12.095096791297122],[-68.23754761721584,12.095027053099006],[-68.2375520749413,12.094987805824097],[-68.23760110992175,12.094939877226686],[-68.23767243353021,12.094918015379491],[-68.23770818630868,12.094913707559318],[-68.23775276356447,12.094891877007996],[-68.23777950991807,12.094861356019862],[-68.23779734082052,12.094826489821495],[-68.23780625627175,12.09479163408315],[-68.23779734082052,12.094743650113232],[-68.23777505219246,12.094730568196299],[-68.23776167901566,12.094708764513697],[-68.23773493266212,12.094695646742478],[-68.23774830583888,12.09462589952099],[-68.23775722129005,12.094595399503719],[-68.23777059446685,12.09452565233434],[-68.23777950991807,12.094499507984208],[-68.23778396764368,12.094455905202173],[-68.2377928830949,12.094429678682285],[-68.23780625627175,12.094399214558756],[-68.237815171723,12.094364276763383],[-68.23780179854613,12.094346828825254],[-68.2377928830949,12.09430763854898],[-68.23778842536929,12.094255335050866],[-68.237815171723,12.09421610288066],[-68.23786420670504,12.094155025228806],[-68.23786866443069,12.094115778197319],[-68.23789541078469,12.094098324190657],[-68.23789986851035,12.09403729902335],[-68.23791324168738,12.094006752783308],[-68.23791769941307,12.093985010484554],[-68.23793107259013,12.093950108625979],[-68.23797564984716,12.09390214421783],[-68.23801140262695,12.093810559337427],[-68.23802923352991,12.093758270852666],[-68.23804706443292,12.093710255820465],[-68.2381183880453,12.093636126133905],[-68.23827886617546,12.093405088954805],[-68.23862675074967,12.09306495459923],[-68.23878722888986,12.092921111391073],[-68.23901466390122,12.092737954428923],[-68.23908598752207,12.092663824360613]]]]}"
